영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,
1,영업/정상,영업,02-324-2040,121816,서울특별시 마포구 동교동 154,서울특별시 마포구 월드컵북로2길 89 지하1층 (동교동),서울 마포구 월드컵북로2길,3994,도프피자 베이커스 홍대점,I,2021.12.1 23:07,기타,
1,영업/정상,영업,0507-1480-0050,121904,서울특별시 마포구 상암동 1603,서울특별시 마포구 성암로 267 MBC신사옥 상업시설 C1 Park 지하1층 B109호 (상암동),서울 마포구 성암로,3925,로봇김밥 상암mbc몰점,U,2020.12.4 22:01,분식,
1,영업/정상,영업,010-2047-0629,121816,서울특별시 마포구 동교동 152-13번지 ,서울특별시 마포구 동교로 212-9 1층 (동교동),서울 마포구 동교로,3994,맛깔1987,I,2020.1.22 0:23,기타,
1,영업/정상,영업,0507-1371-5965,121816,서울특별시 마포구 동교동 153-33번지 서교동자치센터 ,서울특별시 마포구 동교로 210 서교동자치센터 1층일부층 (동교동),서울 마포구 동교로,3994,미국청년1987,U,2018.10.10 2:37,기타,
1,영업/정상,영업,02-322-7315,121888,서울특별시 마포구 합정동 473번지 마포한강2차푸르지오 114호,서울특별시 마포구 월드컵로3길 14 마포한강2차푸르지오 1층 114호 (합정동),서울 마포구 월드컵로3길,4024,매드포갈릭 합정점,U,2019.1.11 2:40,패밀리레스트랑,
1,영업/정상,영업,070-8822-5773,121873,서울특별시 마포구 염리동 159-5번지 ,서울특별시 마포구 백범로26길 4-5 1층 (염리동),서울 마포구 백범로26길,4149,옥면가,I,2019.12.25 0:23,기타,
1,영업/정상,영업,02-324-1107,121838,서울특별시 마포구 서교동 355-25번지 2층일부,서울특별시 마포구 홍익로5안길 24 (서교동 2층일부),서울 마포구 홍익로5안길,4039,홍마떡 홍대본점,U,2019.12.5 23:03,한식,
1,영업/정상,영업,02-335-7723,121839,"서울특별시 마포구 서교동 392-14번지 1,2층 ","서울특별시 마포구 양화로7길 6-4 (서교동 1,2층)",서울 마포구 양화로7길,4037,로켓치킨,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,070-4243-0084,121919,서울특별시 마포구 서교동 490번지 지하1층 메세나폴리스 ,서울특별시 마포구 양화로 45 B154B155호 (서교동 메세나폴리스),서울 마포구 양화로,4036,리피 메세나폴리스점,U,2019.1.11 2:40,기타,
1,영업/정상,영업,02-6954-0079,121876,서울특별시 마포구 용강동 494-56번지 ,서울특별시 마포구 토정로 262 (용강동 1층),서울 마포구 토정로,4162,주신의식탁,U,2018.9.14 23:59,한식,
1,영업/정상,영업,02-364-1422,121870,서울특별시 마포구 염리동 8-69 1층,서울특별시 마포구 대흥로30길 13 (염리동1층),서울 마포구 대흥로30길,4113,주영식당,U,2019.11.2 0:03,한식,
1,영업/정상,영업,02-703-1336,121813,서울특별시 마포구 도화동 336-2번지 ,서울특별시 마포구 도화길 20-1 (도화동 2층),서울 마포구 도화길,4172,주작,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,070-4179-3459,121803,서울특별시 마포구 공덕동 255-16번지 ,서울특별시 마포구 마포대로 110 (공덕동 1층 일부),서울 마포구 마포대로,4213,주전자,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121883,서울특별시 마포구 합정동 412-27 1층일부,서울특별시 마포구 독막로 31-3 (합정동 1층일부),서울 마포구 독막로,4047,주행,U,2020.12.2 21:01,까페,
1,영업/정상,영업,02-6052-0015,121819,서울특별시 마포구 동교동 203-50번지 정암빌딩1층 ,서울특별시 마포구 동교로25길 23 정암빌딩1층 (동교동),서울 마포구 동교로25길,3992,죽순,U,2020.4.30 2:40,일식,
1,영업/정상,영업,02-3143-0700,121854,서울특별시 마포구 신수동 41-6번지 ,서울특별시 마포구 독막로34길 8 1층 (신수동),서울 마포구 독막로34길,4090,죽이랑 밥이랑,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-704-6288,121130,서울특별시 마포구 구수동 55번지 2층 ,서울특별시 마포구 독막로 172 2층 (구수동),서울 마포구 독막로,4087,죽이야기 광흥창역점,U,2019.3.16 2:40,한식,
1,영업/정상,영업,02-711-6288,121779,서울특별시 마포구 도화동 555 지하1층,서울특별시 마포구 마포대로 33 지하1층 B111호 (도화동 마포 한화 오벨리스크),서울 마포구 마포대로,4167,죽이야기 서울마포역점,U,2021.12.1 0:02,한식,
1,영업/정상,영업,02-303-4006,121830,서울특별시 마포구 상암동 5-6,서울특별시 마포구 매봉산로2길 27 1층 (상암동),서울 마포구 매봉산로2길,3927,준 램,U,2020.12.4 0:04,일식,
1,영업/정상,영업,02-6013-6360,121826,서울특별시 마포구 망원동 475-46번지 1층일부 ,서울특별시 마포구 방울내로 68 1층일부 (망원동),서울 마포구 방울내로,3964,준가츠,U,2019.1.4 2:40,기타,
1,영업/정상,영업,070-8268-5554,121837,서울특별시 마포구 서교동 362-14,서울특별시 마포구 와우산로19길 6-11 지하2층 (서교동),서울 마포구 와우산로19길,4041,준스바,U,2020.12.3 22:00,술집,
1,영업/정상,영업,,121882,서울특별시 마포구 창전동 439번지 ,서울특별시 마포구 서강로9길 49 태영아파트 상가동 103호,서울 마포구 서강로9길,4060,준승이네,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-6713-2791,121865,서울특별시 마포구 연남동 228-40번지 2층 ,서울특별시 마포구 동교로 256 2층 (연남동),서울 마포구 동교로,3982,준식당,I,2018.8.31 23:59,기타,
1,영업/정상,영업,02-706-6626,121050,서울특별시 마포구 마포동 219번지 그린벨빌딩 ,서울특별시 마포구 마포대로4나길 14 그린벨빌딩 1층 (마포동),서울 마포구 마포대로4나길,4176,준영네고기집,I,2019.10.26 0:23,기타,
1,영업/정상,영업,02-3144-6760,121883,서울특별시 마포구 합정동 354-23번지 ,서울특별시 마포구 독막로 48 2층 (합정동),서울 마포구 독막로,4073,준지의 아름다운 하루,U,2020.5.10 2:40,까페,
1,영업/정상,영업,070-8691-1927,121895,서울특별시 마포구 서교동 411-9,서울특별시 마포구 와우산로15길 37 지하 1층,서울 마포구 와우산로15길,4049,줄라이 13(July 13),I,2020.10.31 22:04,경양식,
1,영업/정상,영업,02-336-0716,121837,서울특별시 마포구 서교동 345-20번지 2층 ,서울특별시 마포구 와우산로23길 35-6 2층 (서교동),서울 마포구 와우산로23길,4055,줄라이식스틴,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 397-5번지,서울특별시 마포구 독막로3길 52 1층,서울 마포구 독막로3길,4047,중경삼림,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,02-701-9393,121800,서울특별시 마포구 공덕동 21-2번지 ,서울특별시 마포구 만리재옛길 68-1 (공덕동),서울 마포구 만리재옛길,4208,중국성,I,2018.8.31 23:59,중국식,
1,영업/정상,영업,02-323-7751,121895,서울특별시 마포구 서교동 405-9,서울특별시 마포구 독막로7길 60 (서교동),서울 마포구 독막로7길,4048,중독,U,2020.11.2 0:01,경양식,
1,영업/정상,영업,02-307-5825,121878,서울특별시 마포구 중동 241번지 1층일부 ,서울특별시 마포구 성암로3길 20 (중동 1층일부),서울 마포구 성암로3길,3950,중동포차전기구이통닭,U,2019.7.3 2:40,한식,
1,영업/정상,영업,070-4038-2016,121895,서울특별시 마포구 서교동 407-19번지 1층 ,서울특별시 마포구 와우산로17길 24-3 1층 (서교동),서울 마포구 와우산로17길,4049,중앙현관포차,I,2018.8.31 23:59,분식,
1,영업/정상,영업,0507-1436-2209,121816,서울특별시 마포구 동교동 152-11번지 1층,서울특별시 마포구 동교로 220-7 1층 (동교동),서울 마포구 동교로,3994,중화복춘,I,2018.8.31 23:59,중국식,
1,영업/정상,영업,02-336-0278,121865,서울특별시 마포구 연남동 241-48,서울특별시 마포구 성미산로29길 34 1.5층 (연남동),서울 마포구 성미산로29길,3980,쥬벤쿠바 연남,U,2020.12.7 22:01,경양식,
1,영업/정상,영업,,121812,서울특별시 마포구 도화동 194-19번지,서울특별시 마포구 도화길 50 (도화동),서울 마포구 도화길,4169,쥬쥬바,I,2018.8.31 23:59,분식,
1,영업/정상,영업,,121821,서울특별시 마포구 망원동 394-111번지 1층 ,서울특별시 마포구 동교로 27-1 1층 (망원동),서울 마포구 동교로,4017,즐거운포차,U,2018.12.2 2:40,호프/통닭,
1,영업/정상,영업,010-4266-5785,121830,서울특별시 마포구 상암동 14-15,서울특별시 마포구 매봉산로2길 26 2층 (상암동),서울 마포구 매봉산로2길,3927,지금보고싶다 상암점,I,2019.10.31 23:03,기타,
1,영업/정상,영업,,121895,서울특별시 마포구 서교동 405-9번지 ,서울특별시 마포구 독막로7길 60 (서교동 1층),서울 마포구 독막로7길,4048,지금보고싶다 홍대점,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,02-711-5105,121876,서울특별시 마포구 용강동 149-81,서울특별시 마포구 대흥로2길 21 1층 (용강동),서울 마포구 대흥로2길,4162,지니알탕,U,2020.12.4 22:02,한식,
1,영업/정상,영업,,121810,서울특별시 마포구 대흥동 337-20번지 ,서울특별시 마포구 대흥로 52 지상1층 (대흥동),서울 마포구 대흥로,4159,지니돈까스모밀,I,2018.8.31 23:59,일식,
1,영업/정상,영업,,121805,서울특별시 마포구 공덕동 445-1,서울특별시 마포구 백범로 170 102동 1층 3호 (공덕동 공덕더샵아파트),서울 마포구 백범로,4148,지디스트릿,U,2020.12.1 23:02,감성주점,
1,영업/정상,영업,,121837,서울특별시 마포구 서교동 343-13번지 1층 ,서울특별시 마포구 와우산로29가길 79 (서교동1층),서울 마포구 와우산로29가길,4054,지로우라멘,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-6396-3646,121885,서울특별시 마포구 합정동 387-5번지 ,서울특별시 마포구 월드컵로3길 31-5 1층 (합정동),서울 마포구 월드컵로3길,4025,지리,I,2020.5.23 0:23,한식,
1,영업/정상,영업,02-333-7794,121885,서울특별시 마포구 합정동 387-10번지 1층 ,서울특별시 마포구 양화로3길 23 1층 (합정동),서울 마포구 양화로3길,4025,지리산어탕국수,U,2019.1.13 2:40,분식,
1,영업/정상,영업,02-3141-4805,121837,서울특별시 마포구 서교동 345-2번지 4F ,서울특별시 마포구 어울마당로 118 (서교동4F),서울 마포구 어울마당로,4055,지리산주막,I,2018.8.31 23:59,분식,
1,영업/정상,영업,010-4434-3180,121826,서울특별시 마포구 망원동 470-30 휴먼빌리지,서울특별시 마포구 방울내로7길 26 휴먼빌리지 1층 102호 (망원동),서울 마포구 방울내로7길,3961,지아네요리공작소,U,2020.11.30 22:01,한식,
1,영업/정상,영업,,121854,서울특별시 마포구 신수동 85-24 1층일부,서울특별시 마포구 독막로31길 18 (신수동 1층일부),서울 마포구 독막로31길,4096,지알로 파스타바,U,2020.11.2 0:03,기타,
1,영업/정상,영업,02-701-0180,121811,서울특별시 마포구 대흥동 405-4번지 1층 ,서울특별시 마포구 독막로 257 (대흥동1층),서울 마포구 독막로,4151,지여사청국장 생삼겹살,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-706-3837,121812,서울특별시 마포구 도화동 25-2번지 ,서울특별시 마포구 새창로 13 (도화동 2층),서울 마포구 새창로,4169,지중해참치,I,2018.8.31 23:59,일식,
1,영업/정상,영업,02-323-4977,121843,서울특별시 마포구 성산동 56-1번지 ,서울특별시 마포구 월드컵북로 137 CS타워 1층,서울 마포구 월드컵북로,3966,지즐 숯불갈비 성산점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121898,서울특별시 마포구 도화동 38-2번지 지하1층 ,서울특별시 마포구 새창로 20 (도화동 지하1층),서울 마포구 새창로,3995,지지,I,2018.8.31 23:59,경양식,
1,영업/정상,영업,02-714-5554,121742,서울특별시 마포구 대흥동 22-60 곤자가프라자 지하1층,서울특별시 마포구 백범로 35 (신수동서강대학교내 곤자가 프라자 지하1층),서울 마포구 백범로,4107,지지고 서강대점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-332-6990,121837,서울특별시 마포구 서교동 344-6번지 ,서울특별시 마포구 와우산로23길 9 제1층 제108109110호 (서교동 칼리오페),서울 마포구 와우산로23길,4055,지지고 홍대점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-333-9225,121893,서울특별시 마포구 서교동 369-32 1층,서울특별시 마포구 홍익로5안길 43 1층 (서교동),서울 마포구 홍익로5안길,4039,지코바 서교1호점,U,2020.10.31 0:02,호프/통닭,
1,영업/정상,영업,,,서울특별시 마포구 도화동 324-3 1층,서울특별시 마포구 도화2안길 8 1층 (도화동),서울 마포구 도화2안길,4172,지코바 도화점,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,02-303-4544,121850,서울특별시 마포구 성산동 592-5,서울특별시 마포구 모래내로 5 우남퍼스트빌 상가 1층 101-1호 (성산동),서울 마포구 모래내로,3938,지코바 성산1호점,U,2020.12.4 22:01,호프/통닭,
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 395-27,서울특별시 마포구 독막로3길 39 지1층 (서교동),서울 마포구 독막로3길,4044,지하102호 2호점,U,2020.12.9 0:04,기타,
1,영업/정상,영업,010-2801-4568,121840,서울특별시 마포구 서교동 399-26,서울특별시 마포구 양화로6길 57-22 지층 101호 (서교동),서울 마포구 양화로6길,4047,지하102호 3호점,I,2020.11.1 23:04,호프/통닭,
1,영업/정상,영업,02-333-8827,121887,서울특별시 마포구 합정동 426-7번지,서울특별시 마포구 월드컵로 31 오벨리움빌딩 1층 (합정동),서울 마포구 월드컵로,4023,지호한방삼계탕 합정점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-323-9933,121854,서울특별시 마포구 신수동 46-1번지 2층 ,서울특별시 마포구 독막로 229 만한빌딩 1층 (신수동),서울 마포구 독막로,4096,지호한방삼계탕 마포대흥역점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-337-3839,121826,서울특별시 마포구 망원동 471-19,서울특별시 마포구 방울내로11길 23 (망원동두영빌딩 1층101호),서울 마포구 방울내로11길,3961,지호한방삼계탕 마포구청역점,U,2019.10.30 21:01,한식,
1,영업/정상,영업,02-525-9479,121904,서울특별시 마포구 상암동 1615번지 PARK M ,서울특별시 마포구 매봉산로 80 파크엠 2층 205호 (상암동),서울 마포구 매봉산로,3927,지홍이네 족발과쟁반국수,U,2019.6.13 2:40,한식,
1,영업/정상,영업,02-347-5171,121850,서울특별시 마포구 성산동 595번지,서울특별시 마포구 월드컵로 205,서울 마포구 월드컵로,,지희네양념통닭,I,2018.8.31 23:59,분식,
1,영업/정상,영업,02-6956-8777,121854,서울특별시 마포구 신수동 88-16,서울특별시 마포구 광성로4길 11-10 2층 (신수동),서울 마포구 광성로4길,4096,직떡 본점,U,2021.12.2 0:09,한식,
1,영업/정상,영업,02-9649-6855,121828,서울특별시 마포구 상수동 88-15,서울특별시 마포구 독막로19길 42-12 지층 전면 좌측 102호 (상수동),서울 마포구 독막로19길,4067,직떡 홍대점,U,2020.12.4 22:01,분식,
1,영업/정상,영업,,121904,서울특별시 마포구 상암동 1610번지,서울특별시 마포구 매봉산로 75 DDMC 지하1층 푸드코트 내 3호 (상암동),서울 마포구 매봉산로,3926,직화한상 상암DDMC점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-326-1668,121865,서울특별시 마포구 연남동 260-41번지 1층 ,서울특별시 마포구 동교로34길 12 1층 (연남동),서울 마포구 동교로34길,3985,진가,I,2018.8.31 23:59,중국식,
1,영업/정상,영업,02-323-4545,121820,서울특별시 마포구 망원동 57-498,서울특별시 마포구 월드컵로21길 18 지층 (망원동),서울 마포구 월드컵로21길,4012,진가식탁,U,2019.12.7 22:00,한식,
1,영업/정상,영업,02-715-1559,121803,서울특별시 마포구 공덕동 249-62,서울특별시 마포구 마포대로12길 54 (공덕동 1층),서울 마포구 마포대로12길,4211,진대감 마포점,U,2019.12.7 23:05,한식,
1,영업/정상,영업,02-6338-5200,121835,서울특별시 마포구 상암동 1522번지 ,서울특별시 마포구 성암로13길 58 2층 (상암동),서울 마포구 성암로13길,3930,진돈,I,2020.1.17 0:23,일식,
1,영업/정상,영업,02-338-1117,121836,서울특별시 마포구 서교동 327-22번지 지하1층 ,서울특별시 마포구 와우산로29길 4-42 지하1층,서울 마포구 와우산로29길,4052,진만두,I,2018.8.31 23:59,분식,
1,영업/정상,영업,02-3211-4468,121801,서울특별시 마포구 공덕동 105-127번지 1층 ,서울특별시 마포구 마포대로 186-6 (공덕동1층),서울 마포구 마포대로,4207,진미식당,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-336-8221,121893,서울특별시 마포구 서교동 365-26번지 ,서울특별시 마포구 홍익로3길 15 (서교동),서울 마포구 홍익로3길,4039,큰맘할매순대국 홍대점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-878-7476,121826,서울특별시 마포구 망원동 474-18번지 1층 ,서울특별시 마포구 월드컵로31길 5 (망원동1층),서울 마포구 월드컵로31길,3962,진부령황태촌 망원점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-715-6739,121803,서울특별시 마포구 공덕동 256-32번지 ,서울특별시 마포구 만리재옛길 5 (공덕동),서울 마포구 만리재옛길,4214,진분식,U,2018.10.3 2:36,통닭(치킨),
1,영업/정상,영업,02-6401-1952,121837,서울특별시 마포구 서교동 363-20번지 ,서울특별시 마포구 와우산로19길 21 2층 (서교동),서울 마포구 와우산로19길,4041,진솔952,U,2020.4.23 2:40,분식,
1,영업/정상,영업,02-326-5879,121839,서울특별시 마포구 서교동 480-24번지 103호,서울특별시 마포구 동교로 102 (서교동),서울 마포구 동교로,4029,진수성찬,I,2018.8.31 23:59,한식,
1,영업/정상,영업,010-2894-7258,121809,서울특별시 마포구 대흥동 36-31번지 ,서울특별시 마포구 대흥로 112-2 1층 (대흥동),서울 마포구 대흥로,4136,진스키친(Jin's   Kitchen),I,2019.12.22 0:23,기타,
1,영업/정상,영업,02-703-5970,121030,서울특별시 마포구 신공덕동 167번지,서울특별시 마포구 백범로 199 메트로디오빌 105호,서울 마포구 백범로,4195,진시황북어국,I,2018.8.31 23:59,한식,
1,영업/정상,영업,23327412,121869,서울특별시 마포구 연남동 561-8번지 (1층) ,서울특별시 마포구 연남로3길 34 (연남동(1층)),서울 마포구 연남로3길,3988,진어참치,I,2018.8.31 23:59,일식,
1,영업/정상,영업,02-6369-2125,121869,서울특별시 마포구 연남동 565-31번지 ,서울특별시 마포구 연남로3길 51 (연남동 지하1층일부),서울 마포구 연남로3길,3991,진우네초밥,I,2018.8.31 23:59,일식,
1,영업/정상,영업,02-326-3392,121838,서울특별시 마포구 서교동 354-6번지 ,서울특별시 마포구 양화로 128 1층 (서교동),서울 마포구 양화로,4038,진저피그,I,2018.8.31 23:59,일식,
1,영업/정상,영업,02-332-9866,121894,서울특별시 마포구 서교동 375-35번지 ,서울특별시 마포구 월드컵북로1길 60 (서교동 1층 ),서울 마포구 월드컵북로1길,4031,진진가연,I,2018.8.31 23:59,한식,
1,영업/정상,영업,070-5035-8878,121896,서울특별시 마포구 서교동 469-67번지 1층 ,서울특별시 마포구 잔다리로 123 1층 (서교동),서울 마포구 잔다리로,3997,진진 본관,I,2018.8.31 23:59,중국식,
1,영업/정상,영업,02-333-3531,121841,서울특별시 마포구 서교동 449-30번지 ,서울특별시 마포구 동교로19길 48 (서교동 1층일부),서울 마포구 동교로19길,4000,진짜루,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,02-322-1518,121828,서울특별시 마포구 상수동 86-22번지 ,서울특별시 마포구 와우산로 64 전원빌딩 2층 202호,서울 마포구 와우산로,4067,진짜파스타,I,2018.8.31 23:59,까페,
1,영업/정상,영업,02-3272-0056,121815,서울특별시 마포구 도화동 559번지 2층 213호,서울특별시 마포구 마포대로 53 2층 213호 (도화동),서울 마포구 마포대로,4158,진차이나,I,2018.8.31 23:59,중국식,
1,영업/정상,영업,02-332-2790,121903,서울특별시 마포구 망원동 418-24 1층,서울특별시 마포구 희우정로 130 1층,서울 마포구 희우정로,4007,진토리닭곰탕,U,2019.10.31 22:06,한식,
1,영업/정상,영업,02-332-8886,121827,서울특별시 마포구 망원동 483-2번지 2층 ,서울특별시 마포구 망원로 87 2층 (망원동),서울 마포구 망원로,3964,진평925,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-703-0930,121801,서울특별시 마포구 공덕동 111-337,서울특별시 마포구 효창목길 30 인재빌딩 2층 (공덕동),서울 마포구 효창목길,4186,진함흥면옥,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-6383-0101,121816,서울특별시 마포구 동교동 152-14번지 ,서울특별시 마포구 동교로 212-7 1층,서울 마포구 동교로,3994,진화로,I,2018.8.31 23:59,일식,
1,영업/정상,영업,02-6369-0833,121817,서울특별시 마포구 동교동 164-19번지 2층 ,서울특별시 마포구 홍익로6길 44 2층 (동교동),서울 마포구 홍익로6길,4050,진화쿵푸마라탕 홍대본점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 390-24번지 지층일부 ,서울특별시 마포구 동교로38길 23 지층일부 (연남동),서울 마포구 동교로38길,3982,질리(Gilli),I,2019.3.16 2:21,기타,
1,영업/정상,영업,02-324-1422,121816,서울특별시 마포구 동교동 153-3번지 ,서울특별시 마포구 양화로19길 22-25 (동교동 1층일부),서울 마포구 양화로19길,3994,질할브로스,I,2018.8.31 23:59,경양식,
1,영업/정상,영업,02-304-1940,121830,서울특별시 마포구 상암동 41-12번지 ,서울특별시 마포구 월드컵북로50길 6 지층 (상암동),서울 마포구 월드컵북로50길,3927,집밥의여왕,U,2019.11.17 2:40,한식,
1,영업/정상,영업,02-712-7907,121809,서울특별시 마포구 대흥동 18-1,서울특별시 마포구 고산길 158 1층 (대흥동),서울 마포구 고산길,4106,집밥이선생,I,2019.12.7 22:07,기타,
1,영업/정상,영업,02-324-0308,121816,서울특별시 마포구 동교동 155-16,서울특별시 마포구 양화로19길 2 1층 (동교동),서울 마포구 양화로19길,3994,짚신매운갈비찜 홍대점,U,2020.12.4 22:02,한식,
1,영업/정상,영업,02-3141-9216,121887,서울특별시 마포구 합정동 427-14번지 1층일부 ,서울특별시 마포구 월드컵로 41-1 (합정동 1층일부),서울 마포구 월드컵로,4023,짝태&노가리 합정점,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,010-9263-6509,121830,서울특별시 마포구 상암동 36-12번지 1층 일부 ,서울특별시 마포구 월드컵북로48길 7 (상암동 1층 일부),서울 마포구 월드컵북로48길,3927,짝태&노가리 상암점,I,2018.8.31 23:59,호프/통닭,
1,영업/정상,영업,02-322-2697,121825,서울특별시 마포구 망원동 435-23번지,서울특별시 마포구 방울내로 73 (망원동 1층일부),서울 마포구 방울내로,3961,짝태앤노가리 망원점,U,2019.10.31 23:08,호프/통닭,
1,영업/정상,영업,,121899,서울특별시 마포구 동교동 185-18번지 ,서울특별시 마포구 신촌로 60 1층 (동교동),서울 마포구 신촌로,4057,짝태&노가리,I,2020.2.26 0:23,호프/통닭,
1,영업/정상,영업,,121836,서울특별시 마포구 서교동 331-12,서울특별시 마포구 어울마당로 136-5 1층,서울 마포구 어울마당로,4053,짝태와생골뱅이,U,2019.11.2 0:03,호프/통닭,
1,영업/정상,영업,,121819,서울특별시 마포구 동교동 204-11번지 1층 ,서울특별시 마포구 동교로27길 27 1층 (동교동),서울 마포구 동교로27길,3993,짬뽕위에더짬뽕 연남점,I,2018.8.31 23:59,까페,
1,영업/정상,영업,02-332-6158,121895,서울특별시 마포구 서교동 408-27번지 보리수빌딩 ,서울특별시 마포구 어울마당로 44-1 보리수빌딩 1층 (서교동),서울 마포구 어울마당로,4049,짬뽕지존 홍대직영점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-716-5161,121874,서울특별시 마포구 염리동 172-10번지 ,서울특별시 마포구 토정로37길 51 1층 (염리동),서울 마포구 토정로37길,4155,짬뽕지존 마포점,I,2018.8.31 23:59,한식,
1,영업/정상,영업,02-203-7406,121830,서울특별시 마포구 상암동 12-90 마음빌딩,서울특별시 마포구 월드컵북로48길 29-5 마음빌딩 1층 101 102호 (상암동),서울 마포구 월드컵북로48길,3927,짱구네 상암점,U,2020.10.31 0:02,중국식,
1,영업/정상,영업,02-322-0549,121823,서울특별시 마포구 망원동 421-30번지 ,서울특별시 마포구 망원로3길 8 (망원동 1층 일부),서울 마포구 망원로3길,3958,짱스버거,I,2018.8.31 23:59,패스트푸드,
1,영업/정상,영업,02-307-8988,121270,서울특별시 마포구 상암동 1752,서울특별시 마포구 월드컵북로 501 (상암동 월드컵파크 9단지 상가 101호),서울 마포구 월드컵북로,3902,짱오야,U,2020.12.7 0:07,중국식,
1,영업/정상,영업,,121836,서울특별시 마포구 서교동 332-27,서울특별시 마포구 와우산로29바길 11-3 1층 우측 (서교동),서울 마포구 와우산로29바길,4053,쨈스타,I,2021.12.2 0:08,기타,
